WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,FavRank,FavOdd,GapRank,GapOdd,TotalSets,TotalWgames,TotalLgames,TotalGames,SumOdd,SumRank,Month
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-02,Tier 3,Outdoor,Hard,1st Round,3,Safina D.,Likhovtseva E.,11.0,43.0,1390.0,462.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.28,3.25,0.0,0.0,32.0,1.97,2.0,12.0,5.0,17.0,4.53,54.0,1
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-02,Tier 3,Outdoor,Hard,2nd Round,3,Castano C.,Li N.,54.0,21.0,420.75,875.75,6.0,4.0,1.0,6.0,6.0,2.0,2.0,1.0,Completed,4.0,1.19,1.0,1.0,33.0,2.81,3.0,13.0,12.0,25.0,5.19,75.0,1
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-03,Tier 3,Outdoor,Hard,2nd Round,3,Safina D.,Kirilenko M.,11.0,30.0,1390.0,637.0,6.0,2.0,7.0,5.0,,,2.0,0.0,Completed,1.39,2.75,0.0,0.0,19.0,1.36,2.0,13.0,7.0,20.0,4.14,41.0,1
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-04,Tier 3,Outdoor,Hard,Quarterfinals,3,Peer S.,Ivanovic A.,20.0,14.0,894.0,1053.0,5.0,7.0,6.0,4.0,6.0,4.0,2.0,1.0,Completed,2.37,1.53,1.0,1.0,6.0,0.8400000000000001,3.0,17.0,15.0,32.0,3.9,34.0,1
3,Hobart,Moorilla Hobart International,2007-01-08,Tier 4,Outdoor,Hard,1st Round,3,Bremond S.,Krajicek M.,38.0,37.0,537.0,542.0,3.0,6.0,6.0,1.0,6.0,0.0,2.0,1.0,Completed,2.62,1.44,1.0,1.0,1.0,1.1800000000000002,3.0,15.0,7.0,22.0,4.0600000000000005,75.0,1
3,Hobart,Moorilla Hobart International,2007-01-08,Tier 4,Outdoor,Hard,1st Round,3,Bammer S.,Harkleroad A.,56.0,87.0,415.25,320.0,7.0,6.0,6.0,1.0,,,2.0,0.0,Completed,2.0,1.72,0.0,1.0,31.0,0.28,2.0,13.0,7.0,20.0,3.72,143.0,1
3,Hobart,Moorilla Hobart International,2007-01-08,Tier 4,Outdoor,Hard,1st Round,3,Medina Garrigues A.,Vesnina E.,28.0,42.0,684.0,469.75,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,1.72,2.0,0.0,0.0,14.0,0.28,2.0,12.0,4.0,16.0,3.72,70.0,1
3,Hobart,Moorilla Hobart International,2007-01-08,Tier 4,Outdoor,Hard,1st Round,3,Bondarenko A.,Moore J.,32.0,992.0,585.75,6.75,6.0,2.0,7.0,6.0,,,2.0,0.0,Completed,1.07,7.0,0.0,0.0,960.0,5.93,2.0,13.0,8.0,21.0,8.07,1024.0,1
3,Hobart,Moorilla Hobart International,2007-01-09,Tier 4,Outdoor,Hard,1st Round,3,Poutchkova O.,Obziler T.,39.0,123.0,533.75,237.0,0.0,6.0,6.0,2.0,7.0,6.0,2.0,1.0,Completed,1.57,2.25,0.0,0.0,84.0,0.6799999999999999,3.0,13.0,14.0,27.0,3.82,162.0,1
3,Hobart,Moorilla Hobart International,2007-01-09,Tier 4,Outdoor,Hard,2nd Round,3,Zheng J.,Bremond S.,34.0,38.0,560.75,537.0,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,1.44,2.62,0.0,0.0,4.0,1.1800000000000002,2.0,12.0,4.0,16.0,4.0600000000000005,72.0,1
3,Hobart,Moorilla Hobart International,2007-01-09,Tier 4,Outdoor,Hard,2nd Round,3,Castano C.,Santangelo M.,46.0,30.0,449.0,611.5,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,2.1,1.66,1.0,1.0,16.0,0.4400000000000001,2.0,12.0,5.0,17.0,3.76,76.0,1
3,Hobart,Moorilla Hobart International,2007-01-09,Tier 4,Outdoor,Hard,2nd Round,3,Bammer S.,Medina Garrigues A.,56.0,28.0,415.25,684.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,2.75,1.39,1.0,1.0,28.0,1.36,2.0,12.0,7.0,19.0,4.14,84.0,1
3,Hobart,Moorilla Hobart International,2007-01-09,Tier 4,Outdoor,Hard,2nd Round,3,Bardina V.,Nakamura A.,70.0,64.0,365.5,390.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,1.83,1.83,1.0,0.5,6.0,0.0,2.0,12.0,8.0,20.0,3.66,134.0,1
3,Hobart,Moorilla Hobart International,2007-01-10,Tier 4,Outdoor,Hard,Quarterfinals,3,Mirza S.,Molik A.,66.0,165.0,382.0,169.75,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,1.83,1.83,0.0,0.5,99.0,0.0,2.0,12.0,5.0,17.0,3.66,231.0,1
3,Hobart,Moorilla Hobart International,2007-01-11,Tier 4,Outdoor,Hard,Semifinals,3,Bardina V.,Bammer S.,70.0,56.0,365.5,415.25,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.9,1.8,1.0,1.0,14.0,0.0999999999999998,2.0,12.0,4.0,16.0,3.7,126.0,1
3,Hobart,Moorilla Hobart International,2007-01-11,Tier 4,Outdoor,Hard,Semifinals,3,Chakvetadze A.,Mirza S.,13.0,66.0,1144.0,382.0,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,1.39,2.75,0.0,0.0,53.0,1.36,2.0,12.0,5.0,17.0,4.14,79.0,1
4,Sydney,Medibank International,2007-01-08,Tier 2,Outdoor,Hard,1st Round,3,Fedak Y.,Bartoli M.,82.0,20.0,338.0,881.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,3.25,1.3,1.0,1.0,62.0,1.95,2.0,13.0,8.0,21.0,4.55,102.0,1
4,Sydney,Medibank International,2007-01-08,Tier 2,Outdoor,Hard,1st Round,3,Pratt N.,Safina D.,72.0,10.0,363.75,1475.0,4.0,6.0,6.0,3.0,6.0,2.0,2.0,1.0,Completed,7.0,1.07,1.0,1.0,62.0,5.93,3.0,16.0,11.0,27.0,8.07,82.0,1
4,Sydney,Medibank International,2007-01-09,Tier 2,Outdoor,Hard,2nd Round,3,Vaidisova N.,Fedak Y.,11.0,82.0,1391.0,338.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.1,6.0,0.0,0.0,71.0,4.9,2.0,12.0,4.0,16.0,7.1,93.0,1
5,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Tu M.,Gallovits E.,90.0,108.0,315.0,271.5,2.0,6.0,6.0,4.0,6.0,2.0,2.0,1.0,Completed,1.44,2.62,0.0,0.0,18.0,1.1800000000000002,3.0,14.0,12.0,26.0,4.0600000000000005,198.0,1
5,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Ondraskova Z.,Fernandez C.,106.0,105.0,272.0,273.5,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.83,1.83,1.0,0.5,1.0,0.0,2.0,12.0,6.0,18.0,3.66,211.0,1
5,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Kirilenko M.,Sprem K.,28.0,89.0,609.0,316.75,3.0,6.0,6.0,3.0,6.0,1.0,2.0,1.0,Completed,1.33,3.25,0.0,0.0,61.0,1.92,3.0,15.0,10.0,25.0,4.58,117.0,1
5,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Benesova I.,Voskoboeva G.,84.0,110.0,324.25,262.25,6.0,7.0,6.0,1.0,6.0,4.0,2.0,1.0,Completed,1.72,2.0,0.0,0.0,26.0,0.28,3.0,18.0,12.0,30.0,3.72,194.0,1
5,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Yakimova A.,Pous Tio L.,68.0,101.0,375.5,283.25,6.0,2.0,4.0,6.0,7.0,5.0,2.0,1.0,Completed,1.57,2.25,0.0,0.0,33.0,0.6799999999999999,3.0,17.0,13.0,30.0,3.82,169.0,1
5,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Azarenka V.,Fedak Y.,94.0,73.0,299.75,351.25,6.0,2.0,5.0,7.0,6.0,4.0,2.0,1.0,Completed,1.8,1.9,1.0,0.0,21.0,0.0999999999999998,3.0,17.0,13.0,30.0,3.7,167.0,1
5,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Dementieva E.,Foretz S.,8.0,112.0,1875.0,261.25,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.1,6.5,0.0,0.0,104.0,5.4,2.0,12.0,3.0,15.0,7.6,120.0,1
5,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Sugiyama A.,Arvidsson S.,26.0,61.0,730.0,395.75,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.28,3.5,0.0,0.0,35.0,2.22,2.0,12.0,7.0,19.0,4.78,87.0,1
5,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Birnerova E.,Sucha M.,83.0,82.0,324.75,325.5,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,2.37,1.53,1.0,1.0,1.0,0.8400000000000001,2.0,13.0,8.0,21.0,3.9,165.0,1
5,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Bartoli M.,Dushevina V.,21.0,109.0,881.0,266.25,6.0,0.0,6.0,3.0,,,2.0,0.0,Completed,1.66,2.1,0.0,0.0,88.0,0.4400000000000001,2.0,12.0,3.0,15.0,3.76,130.0,1
5,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Safarova L.,Brianti A.,70.0,98.0,370.0,292.5,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.33,3.25,0.0,0.0,28.0,1.92,2.0,12.0,4.0,16.0,4.58,168.0,1
5,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Petrova N.,Tanasugarn T.,6.0,71.0,2141.0,364.75,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.06,8.0,0.0,0.0,65.0,6.94,2.0,12.0,5.0,17.0,9.06,77.0,1
5,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Schruff J.,Zheng J.,97.0,31.0,293.75,589.75,4.0,6.0,7.0,6.0,6.0,4.0,2.0,1.0,Completed,4.33,1.19,1.0,1.0,66.0,3.14,3.0,17.0,16.0,33.0,5.52,128.0,1
5,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Adamczak M.,Tulyaganova I.,241.0,131.0,108.0,218.25,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,3.75,1.25,1.0,1.0,110.0,2.5,2.0,12.0,5.0,17.0,5.0,372.0,1
5,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Williams S.,Santangelo M.,81.0,32.0,331.0,583.5,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.3,3.39,1.0,0.0,49.0,2.09,2.0,12.0,3.0,15.0,4.69,113.0,1
5,Melbourne,Australian Open,2007-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Rodionova A.,Vinci R.,100.0,87.0,287.75,320.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,2.62,1.44,1.0,1.0,13.0,1.1800000000000002,2.0,12.0,4.0,16.0,4.0600000000000005,187.0,1
5,Melbourne,Australian Open,2007-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Mirza S.,Savchuk O.,53.0,102.0,431.0,282.25,6.0,3.0,7.0,5.0,,,2.0,0.0,Completed,1.11,6.0,0.0,0.0,49.0,4.89,2.0,13.0,8.0,21.0,7.11,155.0,1
5,Melbourne,Australian Open,2007-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Ivanovic A.,King V.,14.0,58.0,1108.0,405.75,6.0,2.0,6.0,0.0,,,2.0,0.0,Completed,1.12,5.5,0.0,0.0,44.0,4.38,2.0,12.0,2.0,14.0,6.62,72.0,1
5,Melbourne,Australian Open,2007-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Chakvetadze A.,Bammer S.,13.0,42.0,1258.0,464.25,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,1.14,5.0,0.0,0.0,29.0,3.86,2.0,13.0,9.0,22.0,6.14,55.0,1
5,Melbourne,Australian Open,2007-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Granville L.,Beygelzimer Y.,72.0,107.0,363.5,271.5,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.39,2.75,0.0,0.0,35.0,1.36,2.0,12.0,5.0,17.0,4.14,179.0,1
5,Melbourne,Australian Open,2007-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Kostanic J.,Ferguson S.,67.0,170.0,378.25,163.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,1.44,2.62,0.0,0.0,103.0,1.1800000000000002,2.0,13.0,8.0,21.0,4.0600000000000005,237.0,1
5,Melbourne,Australian Open,2007-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Stosur S.,Zakopalova K.,27.0,119.0,714.0,245.5,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.25,3.75,0.0,0.0,92.0,2.5,2.0,12.0,4.0,16.0,5.0,146.0,1
5,Melbourne,Australian Open,2007-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Radwanska A.,Lepchenko V.,59.0,96.0,399.25,295.0,5.0,7.0,6.0,3.0,6.0,2.0,2.0,1.0,Completed,1.33,3.25,0.0,0.0,37.0,1.92,3.0,17.0,12.0,29.0,4.58,155.0,1
5,Melbourne,Australian Open,2007-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Nakamura A.,Daniilidou E.,65.0,35.0,388.0,556.75,6.0,4.0,6.0,0.0,,,2.0,0.0,Completed,2.5,1.5,1.0,1.0,30.0,1.0,2.0,12.0,4.0,16.0,4.0,100.0,1
5,Melbourne,Australian Open,2007-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Razzano V.,Pratt N.,78.0,60.0,344.0,397.75,6.0,7.0,6.0,4.0,6.0,0.0,2.0,1.0,Completed,1.57,2.25,1.0,0.0,18.0,0.6799999999999999,3.0,18.0,11.0,29.0,3.82,138.0,1
5,Melbourne,Australian Open,2007-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Bondarenko A.,Cohen Aloro S.,34.0,578.0,576.75,22.0,6.0,1.0,7.0,6.0,,,2.0,0.0,Completed,1.33,3.25,0.0,0.0,544.0,1.92,2.0,13.0,7.0,20.0,4.58,612.0,1
5,Melbourne,Australian Open,2007-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Clijsters K.,Bardina V.,5.0,48.0,2441.0,445.5,6.0,0.0,6.0,0.0,,,2.0,0.0,Completed,1.01,13.0,0.0,0.0,43.0,11.99,2.0,12.0,0.0,12.0,14.01,53.0,1
5,Melbourne,Australian Open,2007-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Kanepi K.,Pennetta F.,77.0,29.0,344.5,608.0,7.0,5.0,7.0,6.0,,,2.0,0.0,Completed,2.1,1.66,1.0,1.0,48.0,0.4400000000000001,2.0,14.0,11.0,25.0,3.76,106.0,1
5,Melbourne,Australian Open,2007-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Molik A.,Chan Y.J.,141.0,75.0,198.75,350.5,6.0,2.0,7.0,6.0,,,2.0,0.0,Completed,1.39,2.75,1.0,0.0,66.0,1.36,2.0,13.0,8.0,21.0,4.14,216.0,1
5,Melbourne,Australian Open,2007-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Schnyder P.,Brengle M.,9.0,496.0,1578.0,31.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.03,11.0,0.0,0.0,487.0,9.97,2.0,12.0,7.0,19.0,12.03,505.0,1
5,Melbourne,Australian Open,2007-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Zvonareva V.,Obziler T.,24.0,121.0,794.0,243.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.12,5.5,0.0,0.0,97.0,4.38,2.0,12.0,7.0,19.0,6.62,145.0,1
5,Melbourne,Australian Open,2007-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Paszek T.,Bremond S.,187.0,37.0,143.75,540.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,1.72,2.0,1.0,0.0,150.0,0.28,2.0,12.0,5.0,17.0,3.72,224.0,1
5,Melbourne,Australian Open,2007-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Li N.,Bovina E.,16.0,1216.0,968.0,4.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.06,8.0,0.0,0.0,1200.0,6.94,2.0,12.0,7.0,19.0,9.06,1232.0,1
5,Melbourne,Australian Open,2007-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Groenefeld A.L.,Zahlavova S.,19.0,156.0,922.0,180.5,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,1.44,2.62,0.0,0.0,137.0,1.1800000000000002,2.0,12.0,5.0,17.0,4.0600000000000005,175.0,1
5,Melbourne,Australian Open,2007-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Harkleroad A.,Yuan M.,88.0,114.0,317.0,260.0,6.0,3.0,6.0,0.0,,,2.0,0.0,Completed,1.72,2.0,0.0,0.0,26.0,0.28,2.0,12.0,3.0,15.0,3.72,202.0,1
5,Melbourne,Australian Open,2007-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Loit E.,Rezai A.,46.0,40.0,447.5,488.5,6.0,3.0,4.0,6.0,6.0,3.0,2.0,1.0,Completed,2.1,1.66,1.0,1.0,6.0,0.4400000000000001,3.0,16.0,12.0,28.0,3.76,86.0,1
5,Melbourne,Australian Open,2007-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Jankovic J.,Ruano Pascual V.,11.0,69.0,1456.0,373.5,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.05,8.5,0.0,0.0,58.0,7.45,2.0,12.0,4.0,16.0,9.55,80.0,1
5,Melbourne,Australian Open,2007-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Kuznetsova S.,Adamczak M.,4.0,241.0,2510.0,108.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.03,11.0,0.0,0.0,237.0,9.97,2.0,12.0,3.0,15.0,12.03,245.0,1
5,Melbourne,Australian Open,2007-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Azarenka V.,Bartoli M.,94.0,21.0,299.75,881.0,6.0,0.0,7.0,5.0,,,2.0,0.0,Completed,2.5,1.5,1.0,1.0,73.0,1.0,2.0,13.0,5.0,18.0,4.0,115.0,1
5,Melbourne,Australian Open,2007-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Kirilenko M.,Vakulenko J.,28.0,116.0,609.0,257.75,4.0,6.0,6.0,3.0,6.0,4.0,2.0,1.0,Completed,1.39,2.75,0.0,0.0,88.0,1.36,3.0,16.0,13.0,29.0,4.14,144.0,1
5,Melbourne,Australian Open,2007-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Dementieva E.,Muller M.,8.0,36.0,1875.0,545.0,7.0,5.0,3.0,6.0,6.0,0.0,2.0,1.0,Completed,1.11,6.0,0.0,0.0,28.0,4.89,3.0,16.0,11.0,27.0,7.11,44.0,1
5,Melbourne,Australian Open,2007-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Petrova N.,Dulko G.,6.0,57.0,2141.0,415.75,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.1,6.5,0.0,0.0,51.0,5.4,2.0,12.0,3.0,15.0,7.6,63.0,1
5,Melbourne,Australian Open,2007-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Safarova L.,Schiavone F.,70.0,20.0,370.0,896.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,2.5,1.5,1.0,1.0,50.0,1.0,2.0,12.0,6.0,18.0,4.0,90.0,1
5,Melbourne,Australian Open,2007-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Yakimova A.,Sugiyama A.,68.0,26.0,375.5,730.0,6.0,2.0,2.0,6.0,10.0,8.0,2.0,1.0,Completed,3.25,1.33,1.0,1.0,42.0,1.92,3.0,18.0,16.0,34.0,4.58,94.0,1
5,Melbourne,Australian Open,2007-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Williams S.,Kremer A.,81.0,159.0,331.0,174.25,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.06,8.0,0.0,0.0,78.0,6.94,2.0,13.0,8.0,21.0,9.06,240.0,1
